time,ap,inter,util,noise,cl
2019-05-30 11:15:00+1000,adam-9800-ap,9.0,4.0,-81.0,98.0
2019-05-30 11:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 11:15:00+1000,pnp3802,16.0,8.0,-91.0,96.0
2019-05-30 11:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 11:30:00+1000,adam-9800-ap,14.0,9.0,-84.0,99.0
2019-05-30 11:30:00+1000,pnp3802,26.0,11.0,-85.0,99.0
2019-05-30 11:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 11:45:00+1000,adam-9800-ap,12.0,8.0,-84.0,98.0
2019-05-30 11:45:00+1000,pnp3802,12.0,5.0,-84.0,99.0
2019-05-30 12:00:00+1000,adam-9800-ap,13.0,4.0,-81.0,99.0
2019-05-30 12:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 12:00:00+1000,pnp3802,18.0,10.0,-87.0,99.0
2019-05-30 12:15:00+1000,adam-9800-ap,16.0,9.0,-87.0,98.0
2019-05-30 12:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 12:15:00+1000,pnp3802,42.0,36.0,-80.0,99.0
2019-05-30 12:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 12:30:00+1000,adam-9800-ap,20.0,3.0,-84.0,99.0
2019-05-30 12:30:00+1000,pnp3802,16.0,7.0,-85.0,99.0
2019-05-30 12:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 12:45:00+1000,adam-9800-ap,7.0,4.0,-83.0,98.0
2019-05-30 12:45:00+1000,pnp3802,14.0,7.0,-82.0,98.0
2019-05-30 13:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 13:00:00+1000,pnp3802,16.0,8.0,-90.0,98.0
2019-05-30 13:00:00+1000,adam-9800-ap,11.0,4.0,-76.0,99.0
2019-05-30 13:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 13:15:00+1000,pnp3802,33.0,28.0,-82.0,96.0
2019-05-30 13:15:00+1000,adam-9800-ap,7.0,3.0,-75.0,98.0
2019-05-30 13:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 13:30:00+1000,pnp3802,13.0,6.0,-83.0,98.0
2019-05-30 13:30:00+1000,adam-9800-ap,8.0,2.0,-67.0,99.0
2019-05-30 13:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 13:45:00+1000,adam-9800-ap,10.0,3.0,-81.0,98.0
2019-05-30 13:45:00+1000,pnp3802,28.0,21.0,-85.0,96.0
2019-05-30 14:00:00+1000,adam-9800-ap,10.0,3.0,-85.0,99.0
2019-05-30 14:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 14:00:00+1000,pnp3802,14.0,6.0,-90.0,93.0
2019-05-30 14:15:00+1000,adam-9800-ap,12.0,7.0,-91.0,98.0
2019-05-30 14:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 14:15:00+1000,pnp3802,11.0,4.0,-69.0,96.0
2019-05-30 14:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 14:30:00+1000,adam-9800-ap,12.0,7.0,-81.0,99.0
2019-05-30 14:30:00+1000,pnp3802,12.0,5.0,-83.0,92.0
2019-05-30 14:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 14:45:00+1000,adam-9800-ap,13.0,8.0,-83.0,98.0
2019-05-30 14:45:00+1000,pnp3802,14.0,6.0,-84.0,94.0
2019-05-30 15:00:00+1000,adam-9800-ap,8.0,3.0,-85.0,99.0
2019-05-30 15:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 15:00:00+1000,pnp3802,12.0,5.0,-85.0,93.0
2019-05-30 15:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 15:15:00+1000,adam-9800-ap,11.0,4.0,-86.0,98.0
2019-05-30 15:15:00+1000,pnp3802,14.0,6.0,-85.0,92.0
2019-05-30 15:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 15:30:00+1000,pnp3802,14.0,7.0,-84.0,90.0
2019-05-30 15:30:00+1000,adam-9800-ap,10.0,2.0,-68.0,99.0
2019-05-30 15:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 15:45:00+1000,pnp3802,12.0,5.0,-86.0,91.0
2019-05-30 15:45:00+1000,adam-9800-ap,9.0,4.0,-76.0,98.0
2019-05-30 16:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 16:00:00+1000,pnp3802,15.0,5.0,-86.0,97.0
2019-05-30 16:00:00+1000,adam-9800-ap,8.0,4.0,-67.0,99.0
2019-05-30 16:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 16:15:00+1000,adam-9800-ap,2.0,2.0,-86.0,98.0
2019-05-30 16:15:00+1000,pnp3802,10.0,4.0,-91.0,90.0
2019-05-30 16:30:00+1000,adam-9800-ap,11.0,4.0,-85.0,99.0
2019-05-30 16:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 16:30:00+1000,pnp3802,13.0,5.0,-84.0,94.0
2019-05-30 16:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 16:45:00+1000,adam-9800-ap,2.0,2.0,-91.0,98.0
2019-05-30 16:45:00+1000,pnp3802,10.0,4.0,-85.0,88.0
2019-05-30 17:00:00+1000,adam-9800-ap,4.0,4.0,-87.0,99.0
2019-05-30 17:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 17:00:00+1000,pnp3802,13.0,5.0,-86.0,95.0
2019-05-30 17:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 17:15:00+1000,adam-9800-ap,3.0,3.0,-85.0,98.0
2019-05-30 17:15:00+1000,pnp3802,11.0,4.0,-85.0,93.0
2019-05-30 17:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 17:30:00+1000,adam-9800-ap,3.0,3.0,-85.0,99.0
2019-05-30 17:30:00+1000,pnp3802,13.0,7.0,-84.0,89.0
2019-05-30 17:45:00+1000,adam-9800-ap,7.0,6.0,-86.0,99.0
2019-05-30 17:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 17:45:00+1000,pnp3802,12.0,6.0,-87.0,95.0
2019-05-30 18:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 18:00:00+1000,adam-9800-ap,4.0,3.0,-92.0,99.0
2019-05-30 18:00:00+1000,pnp3802,12.0,6.0,-86.0,87.0
2019-05-30 18:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 18:15:00+1000,adam-9800-ap,3.0,3.0,-86.0,98.0
2019-05-30 18:15:00+1000,pnp3802,13.0,6.0,-84.0,94.0
2019-05-30 18:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 18:30:00+1000,pnp3802,27.0,6.0,-88.0,95.0
2019-05-30 18:30:00+1000,adam-9800-ap,5.0,5.0,-75.0,99.0
2019-05-30 18:45:00+1000,adam-9800-ap,5.0,4.0,-85.0,98.0
2019-05-30 18:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 18:45:00+1000,pnp3802,14.0,7.0,-85.0,97.0
2019-05-30 19:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 19:00:00+1000,adam-9800-ap,6.0,5.0,-92.0,99.0
2019-05-30 19:00:00+1000,pnp3802,16.0,8.0,-84.0,90.0
2019-05-30 19:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 19:15:00+1000,adam-9800-ap,3.0,3.0,-92.0,98.0
2019-05-30 19:15:00+1000,pnp3802,11.0,4.0,-85.0,96.0
2019-05-30 19:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 19:30:00+1000,adam-9800-ap,17.0,4.0,-86.0,98.0
2019-05-30 19:30:00+1000,pnp3802,16.0,8.0,-88.0,84.0
2019-05-30 19:45:00+1000,adam-9800-ap,5.0,4.0,-85.0,99.0
